	NTRAN	CPTRA	^GSPC	^IXIC	GC=F	SI=F	COIN	CHFUSD=X	CADUSD=X	ETH-USD	LTC-USD	BTC-USD
NTRAN	1.0	-0.127538296285119	0.025689955800615186	0.05077105543279008	0.10770568381419283	-0.009278190302475202	0.18465882951143356	-0.06489315880408486	-0.27209364161048344	-0.16855186285464718	0.016395279278598972	-0.007735675483739238
CPTRA	-0.127538296285119	1.0	0.8176471363199643	0.8177851985172162	0.5960274497714028	0.6203675917219584	-0.2958493845846	0.6058436972620912	0.6048408194669178	0.8728443823656652	0.8560073246152415	0.9340107038368548
^GSPC	0.025689955800615186	0.8176471363199643	1.0	0.9825764915228989	0.8534333559570336	0.7496432751172964	-0.5820468815151004	0.6710585924793883	0.39823737155709243	0.8439241505402072	0.5937096202070667	0.8953999252811894
^IXIC	0.05077105543279008	0.8177851985172162	0.9825764915228989	1.0	0.882560787276565	0.7980624180729191	-0.4696104182144079	0.7500258316397073	0.3955853336437497	0.8245650152657644	0.6113127441651932	0.9088993717988784
GC=F	0.10770568381419283	0.5960274497714028	0.8534333559570336	0.882560787276565	1.0	0.84018087322553	-0.49925459174089687	0.7734103575458509	0.20415848270164072	0.6254256317518421	0.39055037246413243	0.724666279970381
SI=F	-0.009278190302475202	0.6203675917219584	0.7496432751172964	0.7980624180729191	0.84018087322553	1.0	-0.33648034314593234	0.8376688374441522	0.47746975765326066	0.6746200348308843	0.45731885860216437	0.7582722869094204
COIN	0.18465882951143356	-0.2958493845846	-0.5820468815151004	-0.4696104182144079	-0.49925459174089687	-0.33648034314593234	1.0	-0.15049254043789376	-0.06210122104515822	-0.4574922845865599	-0.053574079265368085	-0.3665829482422896
CHFUSD=X	-0.06489315880408486	0.6058436972620912	0.6710585924793883	0.7500258316397073	0.7734103575458509	0.8376688374441522	-0.15049254043789376	1.0	0.4974843518675156	0.5873493252191061	0.5246420488361612	0.6813234624902101
CADUSD=X	-0.27209364161048344	0.6048408194669178	0.39823737155709243	0.3955853336437497	0.20415848270164072	0.47746975765326066	-0.06210122104515822	0.4974843518675156	1.0	0.5636415651776577	0.5903648303869092	0.5507587407509283
ETH-USD	-0.16855186285464718	0.8728443823656652	0.8439241505402072	0.8245650152657644	0.6254256317518421	0.6746200348308843	-0.4574922845865599	0.5873493252191061	0.5636415651776577	1.0	0.6553720348453224	0.9204270567328923
LTC-USD	0.016395279278598972	0.8560073246152415	0.5937096202070667	0.6113127441651932	0.39055037246413243	0.45731885860216437	-0.053574079265368085	0.5246420488361612	0.5903648303869092	0.6553720348453224	1.0	0.7513635792475631
BTC-USD	-0.007735675483739238	0.9340107038368548	0.8953999252811894	0.9088993717988784	0.724666279970381	0.7582722869094204	-0.3665829482422896	0.6813234624902101	0.5507587407509283	0.9204270567328923	0.7513635792475631	1.0
